Time(Instant);ElapsedTime(s);Reference Position (m);Position BASELINE (m);Position Error BASELINE (m);Reference Speed (m/s);Speed BASELINE (m/s);Speed Error BASELINE (m/s)
19:47:54;1783367274.599;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:54;1783367274.599;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:55;1783367275.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:55;1783367275.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:55;1783367275.599;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:55;1783367275.599;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:56;1783367276.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:56;1783367276.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:56;1783367276.599;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:56;1783367276.599;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:57;1783367277.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:57;1783367277.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:57;1783367277.599;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:57;1783367277.599;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:58;1783367278.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:58;1783367278.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:58;1783367278.599;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:58;1783367278.599;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:59;1783367279.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:59;1783367279.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:59;1783367279.599;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:47:59;1783367279.599;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:48:00;1783367280.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:48:00;1783367280.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:48:00;1783367280.599;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:48:00;1783367280.599;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:48:01;1783367281.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:48:01;1783367281.000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19:48:01;1783367281.599;0.043000;0.026250;0.016750;0.214000;0.177671;0.036329
19:48:01;1783367281.599;0.043000;0.026250;0.016750;0.214000;0.177671;0.036329
19:48:02;1783367282.000;0.171000;0.335448;-0.164448;0.427000;0.403436;0.023564
19:48:02;1783367282.000;0.171000;0.335448;-0.164448;0.427000;0.403436;0.023564
19:48:02;1783367282.599;0.523000;0.653489;-0.130489;0.747000;0.706888;0.040112
19:48:02;1783367282.599;0.523000;0.653489;-0.130489;0.747000;0.706888;0.040112
19:48:03;1783367283.199;1.121000;1.261719;-0.140719;1.247000;1.185106;0.061894
19:48:03;1783367283.199;1.121000;1.261719;-0.140719;1.247000;1.185106;0.061894
19:48:03;1783367283.599;1.687000;1.792324;-0.105324;1.581000;1.519388;0.061612
19:48:03;1783367283.599;1.687000;1.792324;-0.105324;1.581000;1.519388;0.061612
19:48:04;1783367284.199;2.785000;2.818068;-0.033068;2.081000;2.017766;0.063234
19:48:04;1783367284.199;2.785000;2.818068;-0.033068;2.081000;2.017766;0.063234
19:48:04;1783367284.599;3.684000;3.681947;0.002053;2.414000;2.352579;0.061421
19:48:04;1783367284.599;3.684000;3.681947;0.002053;2.414000;2.352579;0.061421
19:48:05;1783367285.199;5.283000;5.389268;-0.106268;2.914000;2.850969;0.063031
19:48:05;1783367285.199;5.283000;5.389268;-0.106268;2.914000;2.850969;0.063031
19:48:05;1783367285.599;6.515000;6.586364;-0.071364;3.247000;3.185485;0.061515
19:48:05;1783367285.599;6.515000;6.586364;-0.071364;3.247000;3.185485;0.061515
19:48:06;1783367286.199;8.613000;8.764288;-0.151288;3.746000;3.683619;0.062381
19:48:06;1783367286.199;8.613000;8.764288;-0.151288;3.746000;3.683619;0.062381
19:48:06;1783367286.599;10.178000;10.294425;-0.116425;4.079000;4.018008;0.060992
19:48:06;1783367286.599;10.178000;10.294425;-0.116425;4.079000;4.018008;0.060992
19:48:07;1783367287.199;12.775000;12.844940;-0.069940;4.579000;4.515773;0.063227
19:48:07;1783367287.199;12.775000;12.844940;-0.069940;4.579000;4.515773;0.063227
19:48:07;1783367287.599;14.673000;14.707953;-0.034953;4.911000;4.850120;0.060880
19:48:07;1783367287.599;14.673000;14.707953;-0.034953;4.911000;4.850120;0.060880
19:48:08;1783367288.199;17.769000;17.862743;-0.093743;5.410000;5.347744;0.062256
19:48:08;1783367288.199;17.769000;17.862743;-0.093743;5.410000;5.347744;0.062256
19:48:08;1783367288.599;20.000000;20.058482;-0.058482;5.743000;5.681810;0.061190
19:48:08;1783367288.599;20.000000;20.058482;-0.058482;5.743000;5.681810;0.061190
19:48:09;1783367289.199;23.596000;23.743057;-0.147057;6.242000;6.179184;0.062816
19:48:09;1783367289.199;23.596000;23.743057;-0.147057;6.242000;6.179184;0.062816
19:48:09;1783367289.599;26.159000;26.271320;-0.112320;6.574000;6.513015;0.060985
19:48:09;1783367289.599;26.159000;26.271320;-0.112320;6.574000;6.513015;0.060985
19:48:10;1783367290.199;30.253000;29.641955;0.611045;7.073000;7.009259;0.063741
19:48:10;1783367290.199;30.253000;29.641955;0.611045;7.073000;7.009259;0.063741
19:48:10;1783367290.599;33.148000;32.502444;0.645556;7.405000;7.343639;0.061361
19:48:10;1783367290.599;33.148000;32.502444;0.645556;7.405000;7.343639;0.061361
19:48:11;1783367291.199;37.741000;37.620527;0.120473;7.903000;7.840813;0.062187
19:48:11;1783367291.199;37.741000;37.620527;0.120473;7.903000;7.840813;0.062187
19:48:11;1783367291.599;40.968000;40.813313;0.154687;8.235000;8.173870;0.061130
19:48:11;1783367291.599;40.968000;40.813313;0.154687;8.235000;8.173870;0.061130
19:48:12;1783367292.199;46.058000;46.130977;-0.072977;8.733000;8.670362;0.062638
19:48:12;1783367292.199;46.058000;46.130977;-0.072977;8.733000;8.670362;0.062638
19:48:12;1783367292.599;49.618000;49.655626;-0.037626;9.065000;9.003706;0.061294
19:48:12;1783367292.599;49.618000;49.655626;-0.037626;9.065000;9.003706;0.061294
19:48:13;1783367293.199;55.206000;55.366332;-0.160332;9.563000;9.500832;0.062168
19:48:13;1783367293.199;55.206000;55.366332;-0.160332;9.563000;9.500832;0.062168
19:48:13;1783367293.599;59.098000;59.223307;-0.125307;9.896000;9.834957;0.061043
19:48:13;1783367293.599;59.098000;59.223307;-0.125307;9.896000;9.834957;0.061043
19:48:14;1783367294.199;65.186000;65.299618;-0.113618;10.396000;10.333098;0.062902
19:48:14;1783367294.199;65.186000;65.299618;-0.113618;10.396000;10.333098;0.062902
19:48:14;1783367294.599;69.411000;69.489660;-0.078660;10.729000;10.668103;0.060897
19:48:14;1783367294.599;69.411000;69.489660;-0.078660;10.729000;10.668103;0.060897
19:48:15;1783367295.199;75.999000;76.193636;-0.194636;11.230000;11.167565;0.062435
19:48:15;1783367295.199;75.999000;76.193636;-0.194636;11.230000;11.167565;0.062435
19:48:15;1783367295.599;80.558000;80.717600;-0.159600;11.565000;11.503325;0.061675
19:48:15;1783367295.599;80.558000;80.717600;-0.159600;11.565000;11.503325;0.061675
19:48:16;1783367296.199;87.647000;87.672893;-0.025893;12.067000;12.003873;0.063127
19:48:16;1783367296.199;87.647000;87.672893;-0.025893;12.067000;12.003873;0.063127
19:48:16;1783367296.599;92.541000;92.531587;0.009413;12.402000;12.340769;0.061231
19:48:16;1783367296.599;92.541000;92.531587;0.009413;12.402000;12.340769;0.061231
19:48:17;1783367297.199;100.134000;100.297577;-0.163577;12.906000;12.843055;0.062945
19:48:17;1783367297.199;100.134000;100.297577;-0.163577;12.906000;12.843055;0.062945
19:48:17;1783367297.599;105.364000;105.492043;-0.128043;13.243000;13.180741;0.062259
19:48:17;1783367297.599;105.364000;105.492043;-0.128043;13.243000;13.180741;0.062259
19:48:18;1783367298.199;113.461000;113.681215;-0.220215;13.748000;13.684798;0.063202
19:48:18;1783367298.199;113.461000;113.681215;-0.220215;13.748000;13.684798;0.063202
19:48:18;1783367298.599;119.028000;119.212647;-0.184647;14.086000;14.023953;0.062047
19:48:18;1783367298.599;119.028000;119.212647;-0.184647;14.086000;14.023953;0.062047
19:48:19;1783367299.199;127.632000;127.763803;-0.131803;14.594000;14.530010;0.063990
19:48:19;1783367299.199;127.632000;127.763803;-0.131803;14.594000;14.530010;0.063990
19:48:19;1783367299.599;133.537000;133.633538;-0.096538;14.933000;14.870338;0.062662
19:48:19;1783367299.599;133.537000;133.633538;-0.096538;14.933000;14.870338;0.062662
19:48:20;1783367300.199;142.649000;142.863832;-0.214832;15.441000;15.377089;0.063911
19:48:20;1783367300.199;142.649000;142.863832;-0.214832;15.441000;15.377089;0.063911
19:48:20;1783367300.599;148.893000;149.072384;-0.179384;15.780000;15.717314;0.062686
19:48:20;1783367300.599;148.893000;149.072384;-0.179384;15.780000;15.717314;0.062686
19:48:21;1783367301.199;158.513000;158.703495;-0.190495;16.288000;16.223978;0.064022
19:48:21;1783367301.199;158.513000;158.703495;-0.190495;16.288000;16.223978;0.064022
19:48:21;1783367301.799;168.439000;168.576058;-0.137058;16.796000;16.730310;0.065690
19:48:21;1783367301.799;168.439000;168.576058;-0.137058;16.796000;16.730310;0.065690
19:48:22;1783367302.199;175.225000;175.471043;-0.246043;17.135000;17.074393;0.060607
19:48:22;1783367302.199;175.225000;175.471043;-0.246043;17.135000;17.074393;0.060607
19:48:22;1783367302.799;185.658000;185.851842;-0.193842;17.643000;17.577403;0.065597
19:48:22;1783367302.799;185.658000;185.851842;-0.193842;17.643000;17.577403;0.065597
19:48:23;1783367303.199;192.783000;192.954861;-0.171861;17.980000;17.919851;0.060149
