Time (Instant);ElapsedTime (s);PositionRef S2.TRAIN_SPEED_NOISE_1P (m);PositionDispl S2.TRAIN_SPEED_NOISE_1P (m);PositionError S2.TRAIN_SPEED_NOISE_1P (m);GpsSpeedInput S2.TRAIN_SPEED_NOISE_1P (m/s);GpsSpeedInputError S2.TRAIN_SPEED_NOISE_1P (m/s);LatitudeRef S2.TRAIN_SPEED_NOISE_1P (deg);LatitudeInput S2.TRAIN_SPEED_NOISE_1P (deg);LatitudeError S2.TRAIN_SPEED_NOISE_1P (deg);LongitudeRef S2.TRAIN_SPEED_NOISE_1P (deg);LongitudeInput S2.TRAIN_SPEED_NOISE_1P (deg);LongitudeError S2.TRAIN_SPEED_NOISE_1P (deg);GpsInvalidInput S2.TRAIN_SPEED_NOISE_1P;SpeedRef S2.TRAIN_SPEED_NOISE_1P (m/s);TrainSpeedInput S2.TRAIN_SPEED_NOISE_1P (m/s);TrainSpeedInputError S2.TRAIN_SPEED_NOISE_1P (m/s);SpeedDispl S2.TRAIN_SPEED_NOISE_1P (m/s);SpeedDisplError S2.TRAIN_SPEED_NOISE_1P (m/s)
2026-07-13T19:47:30.199Z;23.199;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:30.199Z;23.199;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:30.799Z;23.799;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:30.799Z;23.799;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:31.199Z;24.199;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:31.199Z;24.199;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:31.799Z;24.799;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:31.799Z;24.799;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:32.199Z;25.199;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:32.199Z;25.199;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
2026-07-13T19:47:32.799Z;25.799;0.000000;0.000000;0.000000;0.000000;0.000000;59.278400000;59.278400000;0.000000000;18.010141000;18.010141000;0.000000000;false;0.000000;0.000000;0.000000;0.000000;0.000000
